V_BZNO,DEFAULT_YM,IS_RECOVERED,RECOVER_DT,DEFAULT_DT,DSH_RSN_CNT,DSH_RSN_DSC,RECOVER_YM
1000007317,202209,0,,2022-09-17,1,40,
1000007322,202301,0,,2023-01-28,1,41,
1000007335,202410,0,,2024-10-12,1,41,
1000007371,202510,0,,2025-10-31,1,41,
1000007382,202303,1,2023-06-15,2023-03-17,1,41,202306
1000007382,202406,0,,2024-06-08,1,41,
1000007456,202410,0,,2024-10-05,1,41,
1000007548,202409,0,,2024-09-12,1,40,
1000007600,202508,0,,2025-08-01,1,41,
1000007603,202403,0,,2024-03-18,1,41,
1000007678,202310,0,,2023-10-18,1,41,
1000007730,202103,0,,2021-03-25,1,41,
1000007756,202302,0,,2023-02-01,1,41,
1000007758,202601,0,,2026-01-17,1,41,
1000007782,202509,0,,2025-09-25,1,41,
1000007834,202403,1,2025-04-23,2024-03-19,1,10,202504
1000007841,202407,0,,2024-07-29,1,41,
1000007920,202508,0,,2025-08-21,1,40,
1000007924,202305,0,,2023-05-24,1,41,
1000007971,202405,0,,2024-05-23,1,41,
1000007988,202202,0,,2022-02-07,1,41,
1000008007,202401,0,,2024-01-17,1,41,
1000008019,202401,0,,2024-01-11,1,41,
1000008030,202409,0,,2024-09-02,1,41,
1000008076,202409,0,,2024-09-21,1,41,
1000008078,202312,0,,2023-12-01,1,41,
1000008079,202212,0,,2022-12-01,1,41,
1000008083,202410,0,,2024-10-21,1,41,
1000008102,202410,0,,2024-10-18,1,41,
1000008106,202410,0,,2024-10-17,1,41,
1000008109,202110,0,,2021-10-01,1,41,
1000008111,202409,0,,2024-09-28,1,41,
1000008116,202410,0,,2024-10-05,1,41,
1000008124,202409,0,,2024-09-02,1,41,
1000008126,202304,0,,2023-04-27,1,41,
1000008137,202402,1,2024-03-06,2024-02-05,1,41,202403
1000008141,202410,0,,2024-10-05,1,41,
1000008144,202410,0,,2024-10-25,1,41,
1000008145,202106,0,,2021-06-28,1,41,
1000008146,202409,0,,2024-09-28,1,41,
1000008152,202409,1,2024-10-17,2024-09-28,1,41,202410
1000008152,202508,0,,2025-08-19,1,41,
1000008311,202207,0,,2022-07-22,1,41,
1000008326,202303,1,2023-06-26,2023-03-17,1,41,202306
1000008349,202406,0,,2024-06-27,1,41,
1000008382,202301,0,,2023-01-11,1,41,
1000008477,202412,0,,2024-12-30,1,41,
1000008499,202502,0,,2025-02-05,1,41,
1000008563,202112,0,,2021-12-01,1,41,
1000008646,202212,0,,2022-12-17,1,41,
1000008653,202212,0,,2022-12-30,1,41,
1000008675,202307,0,,2023-07-14,1,41,
1000008693,202310,0,,2023-10-30,1,41,
1000008699,202503,0,,2025-03-04,1,41,
1000008750,202510,0,,2025-10-17,1,41,
1000008757,202109,0,,2021-09-27,1,41,
1000008758,202308,0,,2023-08-04,1,41,
1000008801,202107,0,,2021-07-21,1,41,
1000008815,202302,1,2023-06-13,2023-02-13,1,41,202306
1000008873,202305,0,,2023-05-22,1,40,
1000008874,202502,1,2025-05-09,2025-02-21,1,41,202505
1000008876,202208,0,,2022-08-01,1,41,
1000008902,202407,0,,2024-07-06,1,41,
1000008905,202103,0,,2021-03-05,1,41,
1000008934,202312,1,2024-01-31,2023-12-30,1,41,202401
1000008936,202603,0,,2026-03-14,1,41,
1000008963,202401,0,,2024-01-11,1,41,
1000008990,202503,1,2025-06-25,2025-03-14,1,41,202506
1000009006,202206,0,,2022-06-25,1,41,
1000009015,202505,0,,2025-05-10,1,40,
1000009040,202311,0,,2023-11-15,1,41,
1000009045,202409,0,,2024-09-05,1,41,
1000009150,202512,0,,2025-12-12,1,41,
1000009182,202605,0,,2026-05-08,1,41,
1000009208,202509,0,,2025-09-19,1,41,
1000009253,202510,0,,2025-10-17,1,41,
1000009281,202601,0,,2026-01-17,1,41,
1000009284,202401,0,,2024-01-27,1,41,
1000009335,202212,0,,2022-12-09,1,41,
1000009340,202407,1,2024-10-17,2024-07-18,1,41,202410
1000009359,202412,0,,2024-12-02,1,41,
1000009419,202210,0,,2022-10-26,1,41,
1000009464,202201,0,,2022-01-03,1,41,
1000009482,202309,0,,2023-09-27,1,41,
1000009485,202109,0,,2021-09-09,1,41,
1000009487,202603,0,,2026-03-03,1,41,
1000009543,202512,0,,2025-12-18,1,41,
1000009548,202303,0,,2023-03-10,1,41,
1000009555,202604,0,,2026-04-20,1,41,
1000009556,202202,0,,2022-02-19,1,40,
1000009602,202305,1,2024-06-28,2023-05-30,1,41,202406
1000009610,202512,0,,2025-12-20,1,41,
1000009623,202112,0,,2021-12-04,1,40,
1000009634,202603,0,,2026-03-21,1,41,
1000009687,202512,1,2026-02-20,2025-12-13,1,41,202602
1000009692,202402,0,,2024-02-07,1,41,
1000009733,202408,0,,2024-08-17,1,41,
1000009738,202208,0,,2022-08-19,1,41,
1000009742,202601,0,,2026-01-31,1,40,
1000009769,202503,0,,2025-03-05,1,41,
1000009776,202310,0,,2023-10-05,1,41,
1000009948,202308,0,,2023-08-17,1,41,
1000009960,202205,0,,2022-05-16,1,40,
1000010011,202312,1,2024-06-14,2023-12-07,1,41,202406
1000010011,202501,0,,2025-01-03,1,41,
1000010093,202501,0,,2025-01-02,1,41,
1000010123,202505,1,2025-06-16,2025-05-10,1,41,202506
1000010167,202406,0,,2024-06-20,1,41,
