V_BZNO|BAS_YM|FC_AM1|LA_INSP_KRW_AM1|FC_AM2|LA_INSP_KRW_AM2|FC_AM3|LA_INSP_KRW_AM3|FC_AM4|LA_INSP_KRW_AM4|LA_INSP_KRW_AM5|
가상_사업자번호|기준년월 |미국_외화|미국_원화|일본_외화|일본_원화|중국_외화|중국_원화|유럽_외화|유럽_원화|계_원화|
1000000101|202212|15027390|19045|||||36788|50|19095|
1000000101|202312|16441630|21199|||48632|9|3953|6|21214|
1000000101|202412|13263309|19497|8448000|79|||||19576|
1000000104|202112|4584555|5435|||||||5435|
1000000104|202312|4046424|5217|||||990000|1412|6629|
1000000105|202112|116719|138|||||138810|186|324|
1000000105|202212|49200|62|||||||62|
1000000106|202112|41768755|49517|||||||49517|
1000000106|202212|45593612|57781|||||||57781|
1000000106|202312|40673028|52444|||||159270|227|52671|
1000000106|202412|38171404|56112|||||||56112|
1000000107|202112|0|25741|0|35357|||0|2475|64311|
1000000107|202212|0|30174|0|25772|||0|6656|63026|
1000000107|202312|0|32720|0|27053|||0|6152|65925|
1000000107|202412|0|29045|0|9632|||0|3149|41826|
1000000109|202112|0|6457|||||||6457|
1000000112|202112|0|155|0|1118|||||1273|
1000000112|202212|0|3729|0|655|||0|291|4675|
1000000112|202312|0|13204|0|645|||0|123|13972|
1000000112|202412|0|8698|0|753|||0|168|9619|
1000000114|202212|5126300|6497|||||||6497|
1000000114|202412|5126000|7535|||||||7535|
1000000115|202112|0|168188|0|3328|||||171516|
1000000118|202112|4623357|5481|||||||5481|
1000000118|202212|3074763|3897|||||||3897|
1000000118|202312|2629087|3390|||||||3390|
1000000118|202412|751786|1105|||||||1105|
1000000120|202110|1158991|1358|||1056692|193|98000|134|1685|
1000000120|202510|1140394|1623|||958785|192|||1815|
1000000121|202112|0|59474|0|340|||0|18136|77950|
1000000121|202212|0|45669|0|59|||0|12327|58055|
1000000121|202312|0|41643|0|110|||0|8048|50837|
1000000121|202412|0|43682|0|37|||0|2675|46472|
1000000122|202112|2810562|3332|||||||3332|
1000000122|202212|3235278|4100|||||||4100|
1000000122|202312|5408636|6974|||||||6974|
1000000122|202412|8927938|13124|||||||13124|
1000000123|202112|0|68495|0|909|||0|1186|70590|
1000000123|202212|0|74699|0|111|||0|717|75527|
1000000123|202312|0|49664|0|400|||0|4294|54358|
1000000123|202412|0|48086|0|166|||0|2289|50541|
1000000124|202312|||||||||0|
1000000125|202112|0|2292|0|1559|||0|41|6234|
1000000125|202212|0|3140|0|2304|||0|90|7988|
1000000125|202312|0|722|0|3650|||0|2057|7856|
1000000125|202412|0|180|||||0|55|5994|
1000000126|202112|12584974|14919|31657582|326|||||15245|
1000000126|202212|63876892|80951|48886894|466|||4352453|5881|87305|
1000000126|202312|49264771|63522|21881649|200|||1964961|2803|66525|
1000000126|202412|34482804|50690|268292|3|||12857534|19656|70375|
1000000129|202412|0|6|||||||6|
1000000130|202212|967199000|1225731|13000|0|1401000|254|48465000|65486|1563544|
1000000130|202312|851070000|1097369|||1344000|243|2511000|3582|1416485|
1000000130|202412|78999000|116129|2675000|25|3575000|719|21541000|32930|603325|
1000000131|202112|0|646|0|8268|||0|482|9396|
1000000131|202212|0|134|0|389|||0|165|688|
1000000131|202312|0|175|0|4|||0|947|1126|
1000000131|202412|0|1066|||0|39|0|155|1260|
1000000133|202112|0|37178|||||0|1379|38557|
1000000133|202212|0|36901|||||0|1126|38027|
1000000133|202312|0|27815|||||0|1|27816|
1000000133|202412|0|1372|||||0|808|2180|
1000000135|202112|0|294|||||||525|
1000000135|202212|0|331|||||0|212|614|
1000000135|202312|0|520|||||0|216|2951|
1000000135|202412|0|18889|||0|724|0|75|20197|
1000000136|202112|10643604|12618|||||||12618|
1000000136|202212|8648468|10960|||||||10960|
1000000136|202312|814980|1050|287239124|2622|||||3672|
1000000136|202412|962088|1414|354518416|3320|||||4734|
1000000137|202112|0|1594|0|2055|||0|41|3690|
1000000137|202212|0|8560|0|21|||0|129|8710|
1000000137|202312|0|3064|0|1788|||0|1|4853|
1000000137|202412|0|2392|0|8346|||||10738|
1000000140|202112|202370|240|||||||240|
1000000140|202212|170379|216|||||||216|
1000000140|202312|77401|100|||||||100|
1000000140|202412|93808|138|||||||138|
1000000141|202112|0|3158|0|2230|||0|982|6370|
1000000141|202212|0|1862|0|2357|||0|1257|5476|
1000000141|202312|0|510|0|598|||0|1070|2178|
1000000141|202412|0|2351|0|2526|||0|1106|5983|
1000000142|202112|5999457|7113|||||12500000|16779|23892|
1000000142|202212|||||||12500000|16890|16890|
1000000142|202312|6003684|7741|||||12500000|17832|25573|
1000000142|202412|||||||12500000|19109|19109|
1000000143|202112|||||||||30306|
1000000143|202212|0|31918|||||||31918|
1000000143|202312|0|27441|||||||27441|
1000000143|202412|0|36351|||||||36351|
1000000143|202512|0|32727|||||||32727|
1000000144|202112|4800|6|||||||6|
1000000144|202212|20000000|25346|||||||25346|
1000000144|202312|22000000|28367|||||||28367|
1000000144|202412|20000000|29400|||||||29400|
1000000147|202112|0|3990|0|42|||0|12|4044|
1000000147|202212|0|7585|0|138|||||7723|
1000000147|202312|0|5492|0|154|||||5646|
1000000147|202412|0|6484|0|279|||||6763|
1000000148|202212|28800|36|||||||36|
1000000148|202312|28800|37|||||||37|
1000000148|202412|28800|42|||||||42|
1000000149|202112|0|74801|||||||74801|
1000000149|202212|0|58021|||||||58021|
1000000149|202312|0|59373|||||||59373|
1000000149|202412|0|65927|||||||65927|
1000000150|202112|0|15268|0|219|0|2756|0|1251|19733|
1000000150|202212|0|25440|0|1|0|7094|0|1280|34252|
1000000150|202312|0|32176|0|287|0|6592|0|1063|41804|
1000000150|202412|0|39930|0|833|0|7072|0|1387|49420|
1000000156|202112|37234766|44142|49786182|513|||20807|28|44683|
1000000156|202212|37075256|46987|4695265|45|||36854|50|47222|
1000000156|202312|31183843|40208|495440|5|873564|158|251088|358|40747|
1000000156|202412|33184543|48782|16475665|154|||35574|54|49009|
1000000158|202112|||||||||51806|
1000000158|202212|0|86756|||||||86756|
1000000164|202112|13742852|16292|||||||16292|
1000000164|202212|48849898|61907|||||||61907|
1000000164|202312|194466410|29716|||||||29716|
1000000169|202112|0|175|0|8500|||||8675|
1000000169|202212|0|325|0|8500|||||8825|
1000000169|202312|0|225|0|8500|||||8725|
1000000169|202412|0|300|||||||300|
1000000170|202112|15702734|18616|||||||18616|
1000000170|202212|5696229|7219|||||||7219|
1000000170|202312|2024943|2611|22247959|203|||||2814|
1000000173|202112|0|29329|||||||29329|
1000000173|202212|0|67130|||||0|60|67190|
1000000173|202312|0|20399|||||||20399|
1000000173|202412|0|35197|||||||35197|
1000000177|202312|||||||||0|
1000000177|202412|||||||||0|
1000000178|202112|0|974|||0|4602|||5576|
1000000178|202212|0|147|||||||147|
1000000178|202312|0|1267|||||||1267|
1000000179|202112|222208|263|||||||263|
