V_BZNO|LA_XPO_AM_2021_1|DME_AM_2021_1|TOT_SEL_AM_2021_1|LA_XPO_AM_2021_2|DME_AM_2021_2|TOT_SEL_AM_2021_2|LA_XPO_AM_2021_3|DME_AM_2021_3|TOT_SEL_AM_2021_3|LA_XPO_AM_2021_4|DME_AM_2021_4|TOT_SEL_AM_2021_4|LA_XPO_AM_2022_1|DME_AM_2022_1|TOT_SEL_AM_2022_1|LA_XPO_AM_2022_2|DME_AM_2022_2|TOT_SEL_AM_2022_2|LA_XPO_AM_2022_3|DME_AM_2022_3|TOT_SEL_AM_2022_3|LA_XPO_AM_2022_4|DME_AM_2022_4|TOT_SEL_AM_2022_4|LA_XPO_AM_2023_1|DME_AM_2023_1|TOT_SEL_AM_2023_1|LA_XPO_AM_2023_2|DME_AM_2023_2|TOT_SEL_AM_2023_2|LA_XPO_AM_2023_3|DME_AM_2023_3|TOT_SEL_AM_2023_3|LA_XPO_AM_2023_4|DME_AM_2023_4|TOT_SEL_AM_2023_4|LA_XPO_AM_2024_1|DME_AM_2024_1|TOT_SEL_AM_2024_1|LA_XPO_AM_2024_2|DME_AM_2024_2|TOT_SEL_AM_2024_2|LA_XPO_AM_2024_3|DME_AM_2024_3|TOT_SEL_AM_2024_3|LA_XPO_AM_2024_4|DME_AM_2024_4|TOT_SEL_AM_2024_4|LA_XPO_AM_2025_1|DME_AM_2025_1|TOT_SEL_AM_2025_1|LA_XPO_AM_2025_2|DME_AM_2025_2|TOT_SEL_AM_2025_2|LA_XPO_AM_2025_3|DME_AM_2025_3|TOT_SEL_AM_2025_3|LA_XPO_AM_2025_4|DME_AM_2025_4|TOT_SEL_AM_2025_4|
1000020588||||||||||||||||||||||0|39463|39463|||||||||||||||||||||||||||||||||||||
1000020760||||||||||0|9107|9107||||||||||0|514|514||||||||||0|514|514|||||||||||||||||||||||||
1000021039||||||||||0|949|949||||||||||0|6076|6076||||||||||0|7123|7123|||||||||||||||||||||||||
1000021251||||||||||||||||||||||0|94865|94865|||||||||||||||||||||||||||||||||||||
1000021260||||||||||||||||||||||||||||||||||||||||||||||0|12797|12797|||||||||||||
1000021471||||||||||0|3259|3259||||||||||0|2371|2371||||||||||0|2252|2252|||||||||||||||||||||||||
1000021733||||||||||||||||||||||0|1306|1306||||||||||0|2185|2185|||||||||||||||||||||||||
1000021863||||||||||||||||||||||0|25854|25854|||||||||||||||||||||||||||||||||||||
1000022135||||||||||0|8358|8358||||||||||0|14228|14228||||||||||0|17986|17986||||||||||0|18390|18390|||||||||||||
1000022324||||||||||||||||||||||0|32793|32793||||||||||0|24310|24310||||||||||0|22053|22053|||||||||||||
1000023051||||||||||||||||||||||||||||||||||0|2488|2488|||||||||||||||||||||||||
1000023662||||||||||||||||||||||||||||||||||||||||||||||0|4275|4275|||||||||||||
1000023843||||||||||||||||||||||0|17458|17458||||||||||0|33450|33450||||||||||0|24276|24276||||||||||0|23711|23711|
1000023979||||||||||||||||||||||0|2718|2718||||||||||||||||||||||0|5519|5519|||||||||||||
1000024000||||||||||0|13383|13383|||||||||||||||||||||||||||||||||||||||||||||||||
1000024001||||||||||0|14942|14942|||||||||||||||||||||||||||||||||||||||||||||||||
1000024380||||||||||0|2744|2744||||||||||0|3053|3053||||||||||0|3351|3351||||||||||0|2734|2734|||||||||||||
1000024467||||||||||||||||||||||||||||||||||0|2870|2870|||||||||||||||||||||||||
1000024649||||||||||0|13002|13002|||||||||||||||||||||||||||||||||||||||||||||||||
1000024800||||||||||||||||||||||0|3636|3636||||||||||0|3213|3213|||||||||||||||||||||||||
1000012476|61177|48677|109854|49289|184614|233903|74501|276680|351181|46166|459419|505585|50348|106432|156780|-11908|328565|316657|134121|336459|470580|184562|460849|645411|57259|90731|147990|94298|196433|290731|134910|304759|439669|105168|486018|591186|25571|124285|149856|51638|272895|324533|135695|345373|481068|107174|515770|622944|33280|135609|168889|75564|258665|334229|87968|369683|457651|193733|381925|575658|
1000008363||||||||||||||||||||||0|9500|9500|||||||||||||||||||||||||||||||||||||
1000024557||||||||||0|3099|3099|||||||||||||||||||||||||||||||||||||||||||||||||
1000005337|8634|5534|14168|14375|12117|26492|18319|23088|41407|23038|30767|53805|4122|8799|12921|9149|17135|26284|12548|30784|43332|20466|40254|60720|5446|8892|14338|21038|12889|33927|28683|24388|53071|40473|32436|72909|13827|6947|20774|25856|13928|39784|34213|21004|55217|41847|26866|68713|6870|6112|12982|12333|13090|25423|17782|19662|37444|22745|23269|46014|
1000018094||||||||||||||||||||||||||||||||||0|2590|2590|||||||||||||||||||||||||
1000026130||||||||||||||||0|8942|8942|||||||||||||||||||||||||||||||||||||||||||
1000025344||||||||||0|26685|26685||||||||||0|33542|33542|||||||||||||||||||||||||||||||||||||
1000026332||||||||||||||||||||||||||||||||||0|2063|2063||||||||||||||||||||||0|3304|3304|
1000007315||||||||||0|431|431||||||||||0|1857|1857|||||||||||||||||||||||||||||||||||||
1000026254|||||||||||||0|124|124||||||||||0|321|321|0|801|801|0|1119|1119|0|697|697|0|1983|1983||||||||||||||||||||||
1000025733||||||||||0|458647|458647|0|123345|123345|0|257445|257445|0|398815|398815|0|521671|521671|0|141465|141465|0|290324|290324|0|449224|449224|0|615362|615362|0|176348|176348|0|361844|361844|0|548053|548053|0|766235|766235|0|211904|211904|0|450193|450193|0|688544|688544|0|958371|958371|
1000022450||||||||||||||||||||||0|2200|2200|||||||||||||||||||||||||||||||||||||
1000027273|0|728666|728666|0|1566841|1566841|0|2517868|2517868|0|3542116|3542116|0|711980|711980|0|1697954|1697954|0|2466644|2466644|0|3298300|3298300|0|1074912|1074912|0|2008544|2008544|0|3041697|3041697|68998|4121788|4190786|0|955435|955435|58954|1983641|2042595|74157|3057036|3131193|76184|4180049|4256233|8236|897512|905748|23010|2045948|2068958|17454|3104508|3121962|20245|4126762|4147007|
