V_BZNO|KIS_LS_FNA_MKS_2021|KIS_LS_FNA_MKS_2022|KIS_LS_FNA_MKS_2023|KIS_LS_FNA_MKS_2024|KIS_LS_FNA_MKS_2025|
가상_사업자번호|최종재무평점_2021|최종재무평점_2022|최종재무평점_2023|최종재무평점_2024|최종재무평점_2025|
1000008561|4|4|4|4|4|
1000008575|4||6|6||
1000008650|6|5|8|8||
1000008731|8|6|5|4|5|
1000008733|7||8|8||
1000008843|6|4|4|5|5|
1000008888|6|||4||
1000008918|5|6|6|||
1000008929|5|6|6|6||
1000009014|3|4|4|2|3|
1000009017|5|5||4||
1000009033|8|7|7|7|6|
1000009068|4|4|5|7||
1000009096|3|3|3|3|4|
1000009099|6|5|4|5|4|
1000009103|4|4|4|3|2|
1000009105|6|8|4|6|5|
1000009141|3|4|3|4|4|
1000009153|7|6|6|6|6|
1000009217|5|5|5|4|4|
1000009220|6|5|5|6||
1000009230|6||8|7||
1000009246|4|6||||
1000009269|9|9|9|9|9|
1000009388|6|5|4|8|5|
1000009419|10|9||||
1000009436||6||||
1000009437||8|8|6||
1000009444|6|9|9|9||
1000009474|6|6|5||5|
1000009490|5|5|4|||
1000009503|5|6|6|7|6|
1000009522|6|5||6||
1000009523||||5||
1000009565|4|4||4||
1000009574|4|3|3|3|3|
1000009600|5|5|6|8|8|
1000009678|6|7||6|4|
1000009711|6|7|7|8|8|
1000009721|4|4|5|5|6|
1000009769|7|8|9|||
1000009780|6|6|6|8|6|
1000009814||4||||
1000009829|4|5|5|5|4|
1000009850|6|6|6|6|5|
1000009853|6|5|8|8|7|
1000009913|6|6|5|5||
1000009941|7|6|6|5|5|
1000009971|5|||||
1000009989|4|4|6|5|5|
1000010004|4|4|5|4||
1000010125|8|8|8|9|9|
1000010207|9|9|9|9|10|
1000010268|4|5|6|5|5|
1000010280|6|6|6|8|5|
1000010285||8|6|5||
1000010286|6|5|6|6|5|
1000010289|4|4|4|4||
1000010301|3|3|4|5||
1000010304|||6|5|4|
1000010325|5|6|8|6|6|
1000010334|5|8|7|7|6|
1000010361|6|6|6|5|5|
1000010366|6||6|6|6|
1000010370|6|5|8|5|8|
1000010386|5|6|7|5|7|
1000010398|6|5|5|6||
1000010409||5|5|5||
1000010424|6|7|7|8|6|
1000010470|5|7|6|||
1000010498|5|6|6|5||
1000010539|5|8||||
1000010546|||6|6||
1000010552|4|5|5|6||
1000010630|5|5|6|8||
1000010634|9|||||
1000010636|6|6|6|8||
1000010674|5|4|4|5|5|
1000010676|4|4|4|4|4|
1000010684|4|4|7|8|6|
1000010741|7|||||
1000010756|||5|5|6|
1000010777|5|4|4|4|4|
1000010784|7|9|8|5|6|
1000010835|4|||||
1000010839|6|6||||
1000010846|6|6|6|6||
1000010875|6|5|6|6|6|
1000010885|5|4|5|5||
1000010886|5|5|6|6||
1000010903|6|6|7|6|6|
1000010934|2|4|4|||
1000010942|3|4|4|3|6|
1000010951|6|6|6|8|9|
1000010952|3|3|3|3|3|
1000010957|7|8|5|5|5|
1000010975|9|9|9|9||
1000010976|5|5|5|4||
1000010981|4|4|4|4|3|
1000010989|6|5|5|5|5|
1000011070|5|5|6|5|6|
1000011100|4|4|4|4|4|
1000011115|4||5|5|8|
1000011120|5|6|6|6|8|
1000011128||5|6|6||
1000011134|3||4|4|5|
1000011161|8|||||
1000011175|5|6||5|5|
1000011183|5|4|4|5||
1000011234|8|8|8|5|5|
1000011271||6|4|||
1000011289|8|7|8|8||
1000011304|8|8|8|8||
1000011305|6|8|9|9||
1000011317|6|6|6|6|6|
1000011323|6|6|7|8||
1000011331|5|7|6|6|8|
1000011333|6|6|6|7|7|
1000011336|6|6|5|5||
1000011370|4|4|6|6||
1000011372||6||||
1000011377|8|5|8|8|9|
1000011388|6|||||
1000011409|5|4|4|5|4|
1000011410|5|4|3|2|2|
1000011431|4|5|5|4|5|
1000011436|4|5|4|4|8|
1000011467||3|4|3||
1000011491||7|6|6|6|
1000011495|6|5|4|4||
1000011516|5|5||4|7|
1000011542|7|8|7|7|7|
1000011546|6|6|5|5||
1000011563|4|4|7|6|7|
1000011661|5|4|8|8|8|
1000011701|8|8|8|8|8|
1000011777||4||4||
1000011793|5|6||||
1000011833|3|4|4|4|4|
