V_BZNO|BASDT1|PERS1|BASDT2|PERS2|BASDT3|PERS3|BASDT4|PERS4|BASDT5|PERS5|BASDT6|PERS6|BASDT7|PERS7|BASDT8|PERS8|BASDT9|PERS9|BASDT10|PERS10|BASDT11|PERS11|
가상_사업자번호|기준일자1|종업원수1|기준일자2|종업원수2|기준일자3|종업원수3|기준일자4|종업원수4|기준일자5|종업원수5|기준일자6|종업원수6|기준일자7|종업원수7|기준일자8|종업원수8|기준일자9|종업원수9|기준일자10|종업원수10|기준일자11|종업원수11|
1000000539|20210406|42|20211231|40|20220304|40|||||||||||||||||
1000018462|20210331|330|20211231|297|20220331|277|20231231|275|20240331|272|20241231|258|20250331|257|20251231|254|20260331|244|||||
1000001180|20210412|19|20211231|15|20220413|15|20221231|21|20230410|21|20231231|19|20240408|17|20241231|14|20250408|14|20251231|14|||
1000017701|20211231|139|20220414|135|20221231|129|20230329|122|20231231|117|20240402|115|20241231|116|20250401|114|20251231|118|20260401|117|||
1000014452|20210430|110|20211231|203|20220331|160|20231231|151|20240422|147|20241231|145|20250519|142|||||||||
1000016763|20241231|188|20250521|218|20251231|204|20260408|215|||||||||||||||
1000000970|20241231|238|20250225|235|||||||||||||||||||
1000005771|20220630|81|20230630|77|||||||||||||||||||
1000017908|20251231|32|20260424|37|||||||||||||||||||
1000013800|20211231|48|20220609|48|||||||||||||||||||
1000017627|20210401|14|20211231|14|20220617|13|20221231|12|20230619|12|20231231|13|20240617|12|20241231|9|20250620|9|||||
1000001044|20220314|5|20220411|5|20221231|5|20240402|10|20241231|4|20250414|7|20260403|7|||||||||
1000000805|20211231|65|20220331|58|20221231|65|20230508|58|20231231|55|20240618|59|20240822|55|20241231|58|20250509|58|20251231|58|20260429|58|
1000007531|20210414|26|20211231|26|20220617|26|20221231|23|20230613|24|20231231|23|20240528|22|20241231|19|20251021|18|||||
1000014596|20251231|52|20260422|52|||||||||||||||||||
1000020311|20221231|18|20231231|18|20241231|17|20251231|17|||||||||||||||
1000017184|20211231|50|20220331|57|20231231|79|20240331|74|||||||||||||||
1000018962|20211231|84|20220930|83|||||||||||||||||||
1000022020|20210225|21|20211231|19|20220221|19|20221231|19|20231213|19|20241031|19|20241231|19|20251204|16|||||||
1000002003|20221231|131|20230613|131|20231231|137|20240513|137|20241231|148|20250610|148|||||||||||
1000020193|20231231|17|20240530|5|||||||||||||||||||
1000007147|20221231|99|20230421|88|||||||||||||||||||
1000001709|20221231|104|20230804|92|||||||||||||||||||
1000000872|20241231|103|20250827|108|||||||||||||||||||
1000000789|20221231|136|20230628|128|20241231|89|20250630|88|||||||||||||||
1000015471|20221231|106|20230228|107|20251231|131|20260331|132|||||||||||||||
1000012342|20210331|20|20221231|18|20230405|22|20231231|20|20240409|21|20241231|20|20250402|20|20251231|20|20260403|20|||||
1000000379|20210331|62|20211231|96|20221231|65|20230331|62|20231231|56|20240331|54|20241231|54|20250331|49|20251231|49|20260331|58|||
1000010336|20210331|54|20211231|57|20220331|61|20221231|61|20230331|68|20231231|68|20240331|61|20241231|59|20250331|57|20251231|55|20260331|49|
1000023484|20210512|93|20211231|86|20220513|90|20221231|99|20230515|90|20231231|100|20240513|103|20241231|100|20250423|100|20251231|100|20260423|110|
1000021033|20211231|46|||||||||||||||||||||
1000000811|20211231|113|20220520|113|||||||||||||||||||
1000022086|20210504|163|20211231|175|20220430|190|20221231|212|20230430|204|20241231|71|20250531|59|||||||||
1000020274|20210531|20|||||||||||||||||||||
1000021583|20210704|11|20211231|11|20221231|11|20230407|14|20231231|13|20240328|14|20240812|13|20241231|14|20250331|13|20251231|14|20260427|14|
1000008441|20210416|18|20221231|19|20230417|21|20231231|26|20240331|21|20240821|16|20241231|15|20250428|15|20251231|14|20260428|14|||
1000010574|20210331|29|20221231|27|20230331|26|20231231|31|20240331|31|20241231|27|20250318|27|20251231|27|20260323|27|||||
1000007571|20210430|66|||||||||||||||||||||
1000000544|20210326|13|20211231|11|20220414|11|20221231|10|20230420|10|||||||||||||
1000003993|20251231|32|20260225|29|||||||||||||||||||
1000007360|20210511|16|20211231|13|20220413|13|20221231|13|20230516|13|20231231|14|20240503|15|20241231|15|20250514|15|||||
1000014677|20251231|41|20260401|45|||||||||||||||||||
1000015454|20210329|22|20211231|19|20221231|21|20230331|25|20231231|25|20240331|25|20241231|16|20250331|36|20260401|36|||||
1000015448|20210420|88|20211231|85|20220419|84|||||||||||||||||
1000001887|20211231|27|20221115|29|||||||||||||||||||
1000002487|20210531|460|20211231|453|20220331|458|20221231|463|20230228|470|20231231|478|20240229|475|20241231|471|20251231|480|||||
1000000602|20210331|41|20211231|39|20220331|41|20221231|50|20230331|50|||||||||||||
1000016752|20241231|100|20250616|94|20251231|92|20260331|99|||||||||||||||
1000016167|20211231|108|20220510|103|||||||||||||||||||
1000015479|20210329|72|||||||||||||||||||||
1000002020|20210611|411|||||||||||||||||||||
1000010339|20211231|12|20220414|12|20221231|12|20230418|12|20231231|12|20240415|12|20241231|15|20250411|14|20251231|13|20260402|12|||
1000002317|20211231|4|20220430|4|||||||||||||||||||
1000001982|20211231|9|20220222|9|20230228|6|20231231|5|20241112|5|20241231|4|20251127|4|||||||||
1000020271|20221231|7|20230526|5|20231231|5|20240520|6|20241231|4|20250522|5|||||||||||
1000006834|20231231|22|20241024|23|||||||||||||||||||
