V_BZNO|1_ST_DT|1_ED_DT|1_CRI_GRDNM|2_ST_DT|2_ED_DT|2_CRI_GRDNM|3_ST_DT|3_ED_DT|3_CRI_GRDNM|4_ST_DT|4_ED_DT|4_CRI_GRDNM|5_ST_DT|5_ED_DT|5_CRI_GRDNM|6_ST_DT|6_ED_DT|6_CRI_GRDNM|7_ST_DT|7_ED_DT|7_CRI_GRDNM|
가상_사업자번호|등급적용시작일자 _2020|등급적용종료일자 _2020|CRI등급_2020|등급적용시작일자 _2021|등급적용종료일자 _2021|CRI등급_2021|등급적용시작일자 _2022|등급적용종료일자 _2022|CRI등급_2022|등급적용시작일자 _2023|등급적용종료일자 _2023|CRI등급_2023|등급적용시작일자 _2024|등급적용종료일자 _2024|CRI등급_2024|등급적용시작일자 _2025|등급적용종료일자 _2025|CRI등급_2025|등급적용시작일자 _2026|등급적용종료일자 _2026|CRI등급_2026|
1000004141|20200609|20210428|BB0|20210428|20220427|BB+|20220427|20230426|CCC+|20230426|20240415|B0|20240415|20250402|BB-|20250402|20260412|BB-|20260412|20280101|BB-|
1000004142|20220304|20220420|BBB+|20220420|20231209|BBB0|20250101|20250418|CCC+|20250418|20260429|B+|20260429|20280101|CCC+|||||||
1000004143|20200509|20210325|B+|20210325|20220408|BB+|20220408|20230405|B0|20230405|20240420|B-|20240420|20250417|B+|20250417|20260412|BB0|20260412|20280101|BB-|
1000004144|20201022|20210715|BB-|20210715|20220615|BB-|20240101|20240414|CCC+|20250417|20251118|BB+|20251118|20260414|BBB-|20260414|20280101|BB+||||
1000004145|20200416|20210430|B+|20210430|20220511|B+|20230503|20230504|B0|20230504|20240417|B+|20240417|20250510|B0|20250510|20260109|BB0||||
1000004146|20220101|20220114|CCC+|20230101|20230112|CCC+|20240101|20240117|CCC+|20250101|20250124|CCC+|20250124|20260101|B+|||||||
1000004147|20200912|20210526|B-|20210526|20220907|B-|20230523|20230714|B-|20230714|20240505|CCC+||||||||||
1000004148|20190101|20220630|CCC+|20240101|20240906|CCC+|20240906|20250101|BB+|||||||||||||
1000004149|20210101|20210211|CCC+|20220101|20220510|CCC+|20220510|20230514|BB-|20230514|20240509|BB+|20250318|20251218|BB0|20260403|20260411|BB-|20260411|20280101|BB0|
1000004150|20200409|20210511|B-|20210511|20221202|B-|20221202|20230411|B0|20230411|20240620|B-|20240620|20250411|B0|20250411|20260503|CCC0|20260503|20280101|B-|
1000004151|20200418|20210401|A+|20210401|20220407|AA-|20220407|20230322|AA-|20230322|20240410|AA-|20240410|20250323|A-|20250323|20260402|A+|20260402|20280101|A0|
1000004152|20200101|20220615|CCC+|20240101|20240629|CCC+|20250101|20250112|CCC+|20260414|20260418|CCC+|20260418|20280101|CCC+|||||||
1000004153|20220122|20221022|BB+|20221022|20231017|BB0|20231017|20241003|B+|20251015|20251016|B+|20251016|20270701|BB0|||||||
1000004154|20200417|20210413|B+|20210413|20220409|B0|20220409|20230412|B+|20230412|20240804|B+|20250925|20251202|BB-|20251202|20270101|BB0||||
1000004155|20201124|20210331|BBB-|20210331|20220412|BB+|20220412|20230408|B+|20230408|20240413|B+|20240413|20250306|B+|20250306|20260414|BB-|20260414|20280101|BB-|
1000004156|20220315|20221008|BB-|20221008|20230524|B-|20230524|20240430|B-|20250912|20251003|CCC+|20251003|20260408|B-|20260408|20280101|CC+||||
1000004157|20200507|20210410|BB-|20220407|20220419|B+|20230319|20230810|BB0|20230810|20240621|BB-|20240621|20250805|BB0|20250805|20270101|BB+||||
1000004158|20200512|20210604|BBB-|20210604|20220528|BBB-|20220528|20230616|BBB-|20230616|20240405|BB+|20240405|20250419|BB+|20250419|20260411|BB-|20260411|20280101|BBB-|
1000004159|20200331|20210819|B0|20210819|20220510|B0|20220510|20230415|B+|20230415|20240430|B-|20240430|20250703|B+|20250703|20260429|B0|20260429|20280101|B+|
1000004160|20210119|20210401|B+|20210401|20230101|BBB-|20230101|20240810|CCC+|20240810|20250419|BB-|20250419|20260415|BB0|20260415|20280101|B+||||
1000004161|20200311|20210305|BBB-|20210305|20220412|BBB-|20220412|20230323|BBB-|20230323|20240317|BBB-|20240317|20250410|BBB+|20250410|20260317|BB+|20260317|20280101|BBB0|
1000004162|20140918|20210501|CCC+|20210501|20230101|BB-||||||||||||||||
1000004163|20210331|20210416|BB0|20210416|20220416|BB+|20220416|20230415|BBB-|20230415|20240418|BB+|20240418|20250416|B+|20250416|20260416|BB+|20260416|20280101|BB+|
1000004164|20200408|20210420|B-|20210420|20220421|B+|20220421|20230412|BB-|20230412|20240413|BB0|20240413|20250415|B0|20250415|20260413|B0|20260413|20280101|B0|
